=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.05.17 14:46:12 =~=~=~=~=~=~=~=~=~=~=~=
FL: 120 , FR: 135 , SL: 31 , SR: 139
FL: 121 , FR: 130 , SL: 31 , SR: 127
FL: 120 , FR: 130 , SL: 64 , SR: 119
FL: 128 , FR: 162 , SL: 30 , SR: 111
FL: 124 , FR: 167 , SL: 30 , SR: 107
FL: 127 , FR: 154 , SL: 31 , SR: 115
FL: 124 , FR: 146 , SL: 31 , SR: 111
FL: 128 , FR: 143 , SL: 31 , SR: 111
FL: 125 , FR: 147 , SL: 31 , SR: 112
FL: 128 , FR: 148 , SL: 31 , SR: 111
FL: 124 , FR: 172 , SL: 31 , SR: 111
FL: 123 , FR: 171 , SL: 64 , SR: 112
FL: 124 , FR: 143 , SL: 30 , SR: 107
FL: 128 , FR: 143 , SL: 30 , SR: 111
FL: 127 , FR: 143 , SL: 31 , SR: 111
FL: 128 , FR: 151 , SL: 31 , SR: 108
FL: 132 , FR: 190 , SL: 31 , SR: 100
FL: 143 , FR: 206 , SL: 32 , SR: 99
FL: 131 , FR: 202 , SL: 31 , SR: 95
FL: 132 , FR: 202 , SL: 35 , SR: 91
FL: 132 , FR: 198 , SL: 34 , SR: 88
FL: 132 , FR: 198 , SL: 35 , SR: 93
FL: 133 , FR: 198 , SL: 31 , SR: 88
FL: 131 , FR: 202 , SL: 36 , SR: 89
FL: 136 , FR: 202 , SL: 35 , SR: 87
FL: 132 , FR: 202 , SL: 32 , SR: 87
FL: 134 , FR: 202 , SL: 35 , SR: 87
FL: 143 , FR: 201 , SL: 35 , SR: 95
FL: 132 , FR: 222 , SL: 35 , SR: 91
FL: 133 , FR: 206 , SL: 35 , SR: 95
FL: 132 , FR: 203 , SL: 30 , SR: 89
FL: 132 , FR: 211 , SL: 35 , SR: 87
FL: 146 , FR: 205 , SL: 35 , SR: 78
FL: 141 , FR: 193 , SL: 35 , SR: 75
FL: 141 , FR: 214 , SL: 35 , SR: 73
FL: 141 , FR: 175 , SL: 35 , SR: 67
FL: 141 , FR: 163 , SL: 34 , SR: 75
FL: 151 , FR: 167 , SL: 35 , SR: 68
FL: 140 , FR: 167 , SL: 35 , SR: 72
FL: 141 , FR: 168 , SL: 35 , SR: 70
FL: 141 , FR: 160 , SL: 35 , SR: 74
FL: 140 , FR: 200 , SL: 35 , SR: 66
FL: 140 , FR: 179 , SL: 32 , SR: 70
FL: 141 , FR: 179 , SL: 34 , SR: 74
FL: 141 , FR: 179 , SL: 35 , SR: 65
FL: 140 , FR: 178 , SL: 35 , SR: 66
FL: 151 , FR: 178 , SL: 35 , SR: 70
FL: 141 , FR: 202 , SL: 35 , SR: 66
FL: 140 , FR: 179 , SL: 35 , SR: 70
FL: 140 , FR: 179 , SL: 36 , SR: 73
FL: 140 , FR: 180 , SL: 35 , SR: 72
FL: 151 , FR: 180 , SL: 35 , SR: 70
FL: 141 , FR: 179 , SL: 35 , SR: 70
FL: 140 , FR: 178 , SL: 35 , SR: 67
FL: 141 , FR: 203 , SL: 35 , SR: 70
FL: 141 , FR: 179 , SL: 35 , SR: 66
FL: 139 , FR: 179 , SL: 35 , SR: 66
FL: 140 , FR: 179 , SL: 35 , SR: 66
FL: 141 , FR: 183 , SL: 35 , SR: 69
FL: 140 , FR: 183 , SL: 35 , SR: 72
FL: 151 , FR: 184 , SL: 35 , SR: 66
FL: 141 , FR: 184 , SL: 35 , SR: 73
FL: 141 , FR: 183 , SL: 35 , SR: 72
FL: 141 , FR: 183 , SL: 36 , SR: 75
FL: 140 , FR: 183 , SL: 35 , SR: 70
FL: 141 , FR: 183 , SL: 35 , SR: 70
FL: 141 , FR: 183 , SL: 35 , SR: 66
FL: 140 , FR: 182 , SL: 34 , SR: 69
FL: 141 , FR: 207 , SL: 35 , SR: 66
FL: 152 , FR: 183 , SL: 35 , SR: 66
FL: 140 , FR: 179 , SL: 35 , SR: 70
FL: 184 , FR: 147 , SL: 39 , SR: 78
FL: 322 , FR: 306 , SL: 80 , SR: 77
FL: 387 , FR: 237 , SL: 76 , SR: 77
FL: 368 , FR: 158 , SL: 126 , SR: 13
FL: 622 , FR: 69 , SL: 110 , SR: 9
FL: 290 , FR: 245 , SL: 167 , SR: 34
FL: 266 , FR: 274 , SL: 179 , SR: 33
FL: 276 , FR: 305 , SL: 183 , SR: 30
FL: 407 , FR: 648 , SL: 180 , SR: 30
FL: 632 , FR: 649 , SL: 240 , SR: 34
FL: 538 , FR: 648 , SL: 347 , SR: 29
FL: 533 , FR: 649 , SL: 430 , SR: 33
FL: 521 , FR: 648 , SL: 448 , SR: 31
FL: 504 , FR: 650 , SL: 444 , SR: 30
FL: 490 , FR: 649 , SL: 441 , SR: 28
FL: 403 , FR: 638 , SL: 441 , SR: 37
FL: 403 , FR: 638 , SL: 442 , SR: 34
FL: 401 , FR: 648 , SL: 441 , SR: 33
FL: 406 , FR: 647 , SL: 441 , SR: 33
FL: 414 , FR: 650 , SL: 442 , SR: 33
FL: 420 , FR: 649 , SL: 441 , SR: 30
FL: 409 , FR: 648 , SL: 485 , SR: 33
FL: 410 , FR: 673 , SL: 436 , SR: 33
FL: 440 , FR: 649 , SL: 383 , SR: 29
FL: 413 , FR: 649 , SL: 267 , SR: 30
FL: 345 , FR: 649 , SL: 229 , SR: 34
FL: 376 , FR: 649 , SL: 241 , SR: 29
FL: 324 , FR: 649 , SL: 240 , SR: 34
FL: 345 , FR: 649 , SL: 240 , SR: 30
FL: 464 , FR: 451 , SL: 240 , SR: 34
FL: 615 , FR: 283 , SL: 285 , SR: 33
FL: 591 , FR: 486 , SL: 239 , SR: 35
FL: 595 , FR: 533 , SL: 240 , SR: 34
FL: 610 , FR: 518 , SL: 241 , SR: 34
FL: 598 , FR: 570 , SL: 184 , SR: 29
FL: 570 , FR: 648 , SL: 156 , SR: 37
FL: 601 , FR: 648 , SL: 160 , SR: 33
FL: 583 , FR: 648 , SL: 163 , SR: 34
FL: 582 , FR: 649 , SL: 210 , SR: 35
FL: 596 , FR: 651 , SL: 159 , SR: 30
FL: 599 , FR: 648 , SL: 159 , SR: 30
FL: 552 , FR: 648 , SL: 163 , SR: 33
FL: 520 , FR: 672 , SL: 164 , SR: 33
FL: 531 , FR: 672 , SL: 163 , SR: 30
FL: 523 , FR: 672 , SL: 164 , SR: 30
FL: 524 , FR: 649 , SL: 163 , SR: 30
FL: 524 , FR: 649 , SL: 212 , SR: 29
FL: 521 , FR: 649 , SL: 163 , SR: 30
FL: 527 , FR: 649 , SL: 164 , SR: 30
FL: 577 , FR: 649 , SL: 164 , SR: 33
FL: 616 , FR: 646 , SL: 164 , SR: 29
FL: 629 , FR: 643 , SL: 163 , SR: 30
FL: 629 , FR: 643 , SL: 164 , SR: 34
FL: 634 , FR: 641 , SL: 164 , SR: 34
FL: 514 , FR: 644 , SL: 163 , SR: 30
FL: 541 , FR: 649 , SL: 145 , SR: 34
FL: 521 , FR: 649 , SL: 122 , SR: 33
FL: 519 , FR: 649 , SL: 118 , SR: 29
FL: 497 , FR: 649 , SL: 122 , SR: 35
FL: 478 , FR: 587 , SL: 122 , SR: 33
FL: 412 , FR: 448 , SL: 122 , SR: 34
FL: 418 , FR: 434 , SL: 123 , SR: 57
FL: 422 , FR: 430 , SL: 118 , SR: 62
FL: 420 , FR: 372 , SL: 117 , SR: 66
FL: 422 , FR: 368 , SL: 122 , SR: 55
FL: 419 , FR: 647 , SL: 122 , SR: 33
FL: 420 , FR: 652 , SL: 118 , SR: 34
FL: 444 , FR: 648 , SL: 122 , SR: 35
FL: 425 , FR: 645 , SL: 122 , SR: 30
FL: 420 , FR: 673 , SL: 123 , SR: 33
FL: 421 , FR: 649 , SL: 119 , SR: 34
FL: 485 , FR: 649 , SL: 114 , SR: 34
FL: 472 , FR: 648 , SL: 98 , SR: 33
FL: 477 , FR: 648 , SL: 94 , SR: 33
